player,base_prediction,adjusted_base,enhanced_prediction,minimax_adjustment,markov_adjustment,performance_penalty,passing_consistency,absence_penalty,total_adjustment,latest_week
Caleb Williams,16.24508056434545,17.249020141086362,17.249020141086362,-0.031629028217272474,-0.3268749999999998,0.9624436049581856,0.4,0.0,1.0039395767409132,35
Justin Herbert,19.60059427639121,16.896838224270216,16.896838224270216,-0.11537454140576742,0.5260344827586209,-3.5144159934738477,0.4,0.0,-2.7037560521209945,35
Derek Carr,17.602174827730135,16.84243259582142,16.84243259582142,-0.12955318583095118,0.0633333333333331,-1.0935223794110949,0.4,0.0,-0.7597422319087129,32
Joshua Dobbs,18.0383414627921,16.194354596467257,16.194354596467257,-0.09230168852422037,-0.8788461538461539,-1.2728390239544711,0.4,0.0,-1.8439868663248453,14
Joe Flacco,16.95329146076305,15.973115967133296,15.973115967133296,0.03821943799529027,-0.9690909090909091,-0.8493040225341355,0.8,0.0,-0.9801754936297542,35
Mason Rudolph,18.692152496495336,15.643038124123834,15.643038124123834,-0.2096076248247668,0.18500000000000014,-3.4245067475467343,0.4,0.0,-3.049114372371501,35
Desmond Ridder,16.770326156589608,15.454414872480736,15.454414872480736,-0.10393297449614716,0.3912500000000004,-1.603228309612725,0.0,0.0,-1.3159112841088718,18
Kirk Cousins,16.89041319386225,15.360421480283746,15.360421480283746,-0.0554297506022035,-1.0972727272727272,-0.777289235703575,0.4,0.0,-1.5299917135785055,33
Aidan O'Connell,15.51856876458894,15.134642191147236,15.134642191147236,-0.1419284382294471,0.11300000000000007,-0.754998135212257,0.4,0.0,-0.383926573441704,18
Lamar Jackson,22.752530696764534,15.075058288126426,15.075058288126426,0.02045532909706406,0.8348437499999996,-7.932771487735172,-0.6,0.0,-7.677472408638108,35
Daniel Jones,16.705340368799238,15.030335092199811,15.030335092199811,-0.12376701843996188,0.1804999999999997,-2.131738258159465,0.4,0.0,-1.675005276599427,28
Justin Fields,20.66139435038988,14.808793032041915,14.808793032041915,-0.06779193974171634,0.6841666666666665,-6.468976045272916,0.0,0.0,-5.852601318347966,24
Cooper Rush,15.412876260762097,14.791107954079413,14.791107954079413,-0.14008825748254933,0.23333333333333384,-1.115013382533469,0.4,0.0,-0.6217683066826843,35
Jameis Winston,18.155204934122175,14.77890533221299,14.77890533221299,0.028343851976334804,-0.07000000000000028,-3.7346434538855204,0.4,0.0,-3.376299601909186,33
Jordan Love,16.778534908210542,14.675462489732974,14.675462489732974,0.05057943662465149,-0.6146774193548387,-1.5389744357473805,0.0,0.0,-2.1030724184775678,35
Aaron Rodgers,16.528161142487384,14.407915285621847,14.407915285621847,-0.07234555712436919,0.007812500000000088,-2.455712799741168,0.4,0.0,-2.1202458568655373,35
Jake Browning,20.307929754994795,14.24141101017727,14.24141101017727,-0.016110773464025386,-0.1728571428571433,-6.277550828496357,0.4,0.0,-6.066518744817525,18
Geno Smith,17.418174590885574,13.745640421914944,13.745640421914944,-0.07945711664105302,-0.5143548387096769,-3.0787222136199004,0.0,0.0,-3.67253416897063,35
C.J. Stroud,16.658242753227555,13.43572197862947,13.43572197862947,-0.015492782822668083,-0.6122580645161287,-2.9947699272592887,0.4,0.0,-3.2225207745980855,35
Zach Wilson,13.896899305880376,13.356406644651912,13.356406644651912,-0.11393587438492787,0.3472727272727269,-1.173829514116263,0.4,0.0,-0.5404926612284638,14
Tua Tagovailoa,18.350752117067294,13.065259457838252,13.065259457838252,-0.07432332013907886,-0.38964285714285773,-5.6215264819471065,0.8,0.0,-5.285492659229043,34
Tommy DeVito,15.769991639752764,12.505355052795334,12.505355052795334,-0.15492815341620947,-0.36071428571428626,-2.1489941478269348,-0.6,0.0,-3.2646365869574305,16
Will Levis,16.29644664759907,11.842405779546826,11.842405779546826,-0.14246939120348276,-0.00205882352941229,-4.309512653319349,0.0,0.0,-4.454040868052243,32
Mac Jones,16.38363147052482,11.45146342318676,11.45146342318676,-0.23695935130401874,0.8433333333333333,-5.9385420293673725,0.4,0.0,-4.932168047338058,35
Russell Wilson,16.511533491955166,10.800394042827897,10.800394042827897,0.022333995241345016,-0.41340000000000005,-5.720073444368616,0.4,0.0,-5.711139449127271,35
Sam Howell,15.23399206666479,9.567824916823023,9.567824916823023,0.03356847329417391,-1.5879411764705882,-4.111794446665353,0.0,0.0,-5.666167149841767,18
Kenny Pickett,14.457491444110273,9.019372861027566,9.019372861027566,-0.21787457220551368,-0.3500000000000001,-4.870244010877192,0.0,0.0,-5.438118583082706,12
